,channel_id,channel_video_count,recommended_count,videos_as_source,ratio
1357,UCO6K_kkdP-lnSCiO3tPx7WA,389,5828,56,14.982005141388175
1358,UCMuew8eyr1ruN49yAv2k3CA,696,186,361,0.2672413793103448
1359,UCrP3-mdG7xukDyDHHuFTzQg,138,180,35,1.3043478260869565
1360,UCCNyXbmCmmEJIeukYgD1yMA,23,77,8,3.347826086956522
1361,UC066ZLZxX7S0UyKJB5nDR_Q,441,289,51,0.655328798185941
1362,UCWyqks6hlvp0xrzgqp4T4EQ,18,45,12,2.5
1363,UCLHlsGMNqgfZbVFjRoy8_iA,23,64,9,2.782608695652174
1364,UCmvsy9pQaM6P1jdFZGLAmNg,516,663,175,1.2848837209302326
1365,UCaSzSkQ-2VDmeUIXggXrn5g,22,33,13,1.5
1366,UCpXCfMn2gE_9zYrREWHmLcQ,7,46,0,6.571428571428571
1367,UC8PLJgvC1VXzs5TpsTYc3Jg,13,6,8,0.46153846153846156
1368,UCilxiEGEQHVZ25GU_cnyCzg,144,973,35,6.756944444444445
1369,UCjA77_Tdhb7EARJ-FBW5yOA,22,18,3,0.8181818181818182
1370,UCzveuNW6M_P4mp1CJtPdFCQ,15,0,1,0.0
1371,UCuc2FLy-oiWW7IKj3C9baOg,1,0,0,0.0
1372,UC5kLs1gGQ6NRHzM5CNourdg,93,102,32,1.096774193548387
1373,UCM1dPrcar1pIz0EwfXDHzBQ,286,54,70,0.1888111888111888
1374,UC3kN4KnTeaSl7bH_9ldSswg,19,6,4,0.3157894736842105
1375,UCDamvUCdUyRYXr8SwMBnU4Q,6,0,1,0.0
1376,UCzhQvyhZ3M9nKFE3jrrqGsQ,21,2,2,0.09523809523809523
1377,UC_IClQhJZvRrjSDjPpBwaAw,41,41,0,1.0
1378,UCYH1AeVCfRaRAiKPasUG7tg,8,0,0,0.0
1379,UCCOe0KuhT2qL2igrVKfxCXw,15,0,1,0.0
1380,UCCf4e9b9TZht5Y76E7RehGg,68,456,2,6.705882352941177
1381,UCYKEhgw91ua3w_DJA0PeS4Q,18,8,3,0.4444444444444444
